Method,Metric,Mean,Std,N,Sum,Calculation
BM25,Exact Match,0.0400,0.1979,50,2.0000,2.0000 / 50 = 0.0400
BM25,Token F1,0.4592,0.2436,50,22.9590,22.9590 / 50 = 0.4592
BM25,ROUGE-L,0.4613,0.2411,50,23.0648,23.0648 / 50 = 0.4613
BM25,Answer Correctness,0.7294,0.2849,50,36.4716,36.4716 / 50 = 0.7294
BM25,Faithfulness,0.7760,0.3631,50,38.8000,38.8000 / 50 = 0.7760
BM25,Context Precision,0.8435,0.2664,50,42.1765,42.1765 / 50 = 0.8435
BM25,Context Recall,0.8700,0.3164,50,43.5000,43.5000 / 50 = 0.8700
Dense,Exact Match,0.0200,0.1414,50,1.0000,1.0000 / 50 = 0.0200
Dense,Token F1,0.3627,0.2697,50,18.1359,18.1359 / 50 = 0.3627
Dense,ROUGE-L,0.3569,0.2691,50,17.8474,17.8474 / 50 = 0.3569
Dense,Answer Correctness,0.6009,0.3233,49,29.4439,29.4439 / 49 = 0.6009
Dense,Faithfulness,0.6058,0.4222,50,30.2888,30.2888 / 50 = 0.6058
Dense,Context Precision,0.8125,0.2456,49,39.8129,39.8129 / 49 = 0.8125
Dense,Context Recall,0.8900,0.3079,50,44.5000,44.5000 / 50 = 0.8900
Hybrid,Exact Match,0.0400,0.1979,50,2.0000,2.0000 / 50 = 0.0400
Hybrid,Token F1,0.4281,0.2650,50,21.4047,21.4047 / 50 = 0.4281
Hybrid,ROUGE-L,0.4245,0.2655,50,21.2240,21.2240 / 50 = 0.4245
Hybrid,Answer Correctness,0.6620,0.3286,50,33.1021,33.1021 / 50 = 0.6620
Hybrid,Faithfulness,0.6885,0.4144,50,34.4250,34.4250 / 50 = 0.6885
Hybrid,Context Precision,0.8402,0.2281,50,42.0098,42.0098 / 50 = 0.8402
Hybrid,Context Recall,0.8600,0.3356,50,43.0000,43.0000 / 50 = 0.8600
Hybrid+Reranker,Exact Match,0.0400,0.1979,50,2.0000,2.0000 / 50 = 0.0400
Hybrid+Reranker,Token F1,0.4720,0.2399,50,23.5995,23.5995 / 50 = 0.4720
Hybrid+Reranker,ROUGE-L,0.4679,0.2417,50,23.3946,23.3946 / 50 = 0.4679
Hybrid+Reranker,Answer Correctness,0.7612,0.2697,50,38.0578,38.0578 / 50 = 0.7612
Hybrid+Reranker,Faithfulness,0.7700,0.3652,50,38.5000,38.5000 / 50 = 0.7700
Hybrid+Reranker,Context Precision,0.9010,0.1693,50,45.0515,45.0515 / 50 = 0.9010
Hybrid+Reranker,Context Recall,0.9600,0.1702,50,48.0000,48.0000 / 50 = 0.9600
